Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
VICR,Vicor Corporation,48.95,$1.95B,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/vicr
CIZ,VictoryShares Developed Enhanced Volatility Wtd ETF,34.27,,,,,https://www.nasdaq.com/symbol/ciz
VSDA,VictoryShares Dividend Accelerator ETF,31.2,,,,,https://www.nasdaq.com/symbol/vsda
CEY,VictoryShares Emerging Market High Div Volatility Wtd ETF,23.91,,,,,https://www.nasdaq.com/symbol/cey
CEZ,VictoryShares Emerging Market Volatility Wtd ETF,27.3345,,,,,https://www.nasdaq.com/symbol/cez
CID,VictoryShares International High Div Volatility Wtd ETF,33.71,,,,,https://www.nasdaq.com/symbol/cid
CIL,VictoryShares International Volatility Wtd ETF,40.15,,,,,https://www.nasdaq.com/symbol/cil
CFO,VictoryShares US 500 Enhanced Volatility Wtd ETF,52.18,$36.53M,,,,https://www.nasdaq.com/symbol/cfo
CFA,VictoryShares US 500 Volatility Wtd ETF,52.226000000000006,$10.45M,,,,https://www.nasdaq.com/symbol/cfa
CSF,VictoryShares US Discovery Enhanced Volatility Wtd ETF,48.84,$124.54M,,,,https://www.nasdaq.com/symbol/csf
CDC,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,47.83,$31.09M,,,,https://www.nasdaq.com/symbol/cdc
CDL,VictoryShares US Large Cap High Div Volatility Wtd ETF,46.5483,,,,,https://www.nasdaq.com/symbol/cdl
VSMV,VictoryShares US Multi-Factor Minimum Volatility ETF,30.12,,,,,https://www.nasdaq.com/symbol/vsmv
CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,47.6,,,,,https://www.nasdaq.com/symbol/csb
CSA,VictoryShares US Small Cap Volatility Wtd ETF,50.0153,$2.56B,,,,https://www.nasdaq.com/symbol/csa
VRAY,"ViewRay, Inc.",9.45,$886.93M,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/vray
VKTX,"Viking Therapeutics, Inc.",19.29,$1.17B,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vktx
VKTXW,"Viking Therapeutics, Inc.",17.7,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vktxw
VBFC,Village Bank and Trust Financial Corp.,33.43,$47.94M,,Finance,Major Banks,https://www.nasdaq.com/symbol/vbfc
VLGEA,"Village Super Market, Inc.",27.79,$399.49M,,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/vlgea
VNOM,Viper Energy Partners LP,42.28,$5.24B,2014.0,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/vnom
VIRC,Virco Manufacturing Corporation,4.3,$66.04M,,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/virc
VIRT,"Virtu Financial, Inc.",21.45,$4.08B,2015.0,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/virt
VRTS,"Virtus Investment Partners, Inc.",119.9,$859.22M,,Finance,Investment Managers,https://www.nasdaq.com/symbol/vrts
VRTSP,"Virtus Investment Partners, Inc.",103.0,,,Finance,Investment Managers,https://www.nasdaq.com/symbol/vrtsp
BBC,Virtus LifeSci Biotech Clinical Trials ETF,35.28,$35.28M,,,,https://www.nasdaq.com/symbol/bbc
VRTU,Virtusa Corporation,54.32,$1.62B,2007.0,Technology,EDP Services,https://www.nasdaq.com/symbol/vrtu
VTGN,"VistaGen Therapeutics, Inc.",1.37,$35.37M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vtgn
VC,Visteon Corporation,100.5,$2.95B,,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/vc
VTL,"Vital Therapies, Inc.",0.294,$12.46M,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vtl
VIVE,"Viveve Medical, Inc.",2.87,$90.37M,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/vive
VVPR,VivoPower International PLC,1.47,$19.93M,,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/vvpr
VVUS,"VIVUS, Inc.",4.94,$5.25M,1994.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vvus
VOD,Vodafone Group Plc,22.65,$60.51B,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/vod
VOXX,VOXX International Corporation,5.15,$124.63M,,Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/voxx
VYGR,"Voyager Therapeutics, Inc.",18.22,$590.98M,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/vygr
VSEC,VSE Corporation,33.25,$361.8M,,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/vsec
